ts,symbol,last_price
1767631397668,DOGEUSDT,0.15025
1767631397891,SOLUSDT,135.42
1767631398065,DOTUSDT,2.183
1767631398118,BTCUSDT,93833.7
1767631398119,ETHUSDT,3183.83
1767631398201,BNBUSDT,905.77
1767631398291,LTCUSDT,83.05
1767631398412,XRPUSDT,2.1838
1767631398674,DOGEUSDT,0.15021
1767631398888,SOLUSDT,135.41
1767631399065,DOTUSDT,2.183
1767631399118,BTCUSDT,93828.2
1767631399129,ETHUSDT,3183.71
1767631399201,BNBUSDT,905.77
1767631399291,LTCUSDT,83.05
1767631399399,ADAUSDT,0.4136
1767631399413,XRPUSDT,2.1834
1767631399671,DOGEUSDT,0.15018
1767631399888,SOLUSDT,135.4
1767631400066,DOTUSDT,2.183
1767631400118,BTCUSDT,93828.2
1767631400118,ETHUSDT,3183.71
1767631400201,BNBUSDT,905.77
1767631400400,ADAUSDT,0.4136
1767631400410,XRPUSDT,2.1834
1767631400667,DOGEUSDT,0.15018
1767631400891,SOLUSDT,135.4
1767631401065,DOTUSDT,2.183
1767631401119,BTCUSDT,93828.2
1767631401119,ETHUSDT,3183.7
1767631401198,BNBUSDT,905.78
1767631401292,LTCUSDT,83.04
1767631401400,ADAUSDT,0.4136
1767631401412,XRPUSDT,2.1838
1767631401666,DOGEUSDT,0.15018
1767631401887,SOLUSDT,135.41
1767631402065,DOTUSDT,2.183
1767631402117,BTCUSDT,93828.2
1767631402130,ETHUSDT,3183.99
1767631402200,BNBUSDT,905.78
1767631402292,LTCUSDT,83.04
1767631402409,ADAUSDT,0.4137
1767631402420,XRPUSDT,2.184
1767631402670,DOGEUSDT,0.15021
1767631402887,SOLUSDT,135.45
1767631403069,DOTUSDT,2.183
1767631403119,BTCUSDT,93845.4
1767631403131,ETHUSDT,3184.89
1767631403201,BNBUSDT,905.77
1767631403291,LTCUSDT,83.06
1767631403399,ADAUSDT,0.4138
1767631403415,XRPUSDT,2.1846
1767631403667,DOGEUSDT,0.15023
1767631403888,SOLUSDT,135.47
1767631404065,DOTUSDT,2.183
1767631404118,BTCUSDT,93845.4
1767631404129,ETHUSDT,3185.12
1767631404243,BNBUSDT,905.8
1767631404292,LTCUSDT,83.08
1767631404400,ADAUSDT,0.4139
1767631404426,XRPUSDT,2.1848
1767631404670,DOGEUSDT,0.15027
1767631404887,SOLUSDT,135.48
1767631405065,DOTUSDT,2.185
1767631405118,BTCUSDT,93851.5
1767631405129,ETHUSDT,3185.33
1767631405201,BNBUSDT,905.89
1767631405292,LTCUSDT,83.08
1767631405399,ADAUSDT,0.4139
1767631405410,XRPUSDT,2.1849
1767631405671,DOGEUSDT,0.15027
1767631405891,SOLUSDT,135.48
1767631406066,DOTUSDT,2.185
1767631406118,BTCUSDT,93851.5
1767631406130,ETHUSDT,3185.33
1767631406201,BNBUSDT,905.89
1767631406291,LTCUSDT,83.08
1767631406399,ADAUSDT,0.4139
1767631406413,XRPUSDT,2.1849
1767631406670,DOGEUSDT,0.15026
1767631406887,SOLUSDT,135.48
1767631407068,DOTUSDT,2.184
